fold,label,p1,p2
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID3/P11518_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID3/P01021_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID3/P01019_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID3/P01020_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID3/P11519_face5.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID3/P11520_face2.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P11520_face4.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P01025_face4.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P11518_face1.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P11519_face6.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P01023_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P11521_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P11523_face1.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID4/P01024_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID5/P01025_face3.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID5/P01027_face2.jpg
5,1,F0099/MID7/P11538_face2.jpg,F0099/MID5/P11519_face4.jpg
4,1,F0766/MID3/P08092_face7.jpg,F0766/MID2/P08096_face4.jpg
4,1,F0766/MID3/P08090_face2.jpg,F0766/MID2/P08096_face4.jpg
2,1,F0645/MID2/P06802_face5.jpg,F0645/MID8/P06799_face1.jpg
2,1,F0645/MID2/P06802_face5.jpg,F0645/MID8/P06798_face2.jpg
2,1,F0645/MID2/P06794_face6.jpg,F0645/MID8/P06799_face1.jpg
2,1,F0645/MID2/P06794_face6.jpg,F0645/MID8/P06798_face2.jpg
2,1,F0645/MID2/P06797_face3.jpg,F0645/MID8/P06799_face1.jpg
2,1,F0645/MID2/P06797_face3.jpg,F0645/MID8/P06798_face2.jpg
2,1,F0645/MID2/P06793_face2.jpg,F0645/MID8/P06799_face1.jpg
2,1,F0645/MID2/P06793_face2.jpg,F0645/MID8/P06798_face2.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID2/P10436_face4.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID2/P10430_face2.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID2/P10436_face4.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID2/P10430_face2.jpg
5,1,F0990/MID3/P10431_face1.jpg,F0990/MID2/P10436_face4.jpg
5,1,F0990/MID3/P10431_face1.jpg,F0990/MID2/P10430_face2.jpg
5,1,F0990/MID3/P10428_face5.jpg,F0990/MID2/P10436_face4.jpg
5,1,F0990/MID3/P10428_face5.jpg,F0990/MID2/P10430_face2.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID6/P10437_face5.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID6/P10429_face5.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID6/P10435_face2.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID6/P10433_face3.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID6/P10432_face8.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID6/P10437_face5.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID6/P10429_face5.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID6/P10435_face2.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID6/P10433_face3.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID6/P10432_face8.jpg
5,1,F0990/MID3/P10431_face1.jpg,F0990/MID6/P10437_face5.jpg
5,1,F0990/MID3/P10431_face1.jpg,F0990/MID6/P10429_face5.jpg
5,1,F0990/MID3/P10431_face1.jpg,F0990/MID6/P10435_face2.jpg
5,1,F0990/MID3/P10431_face1.jpg,F0990/MID6/P10433_face3.jpg
5,1,F0990/MID3/P10431_face1.jpg,F0990/MID6/P10432_face8.jpg
5,1,F0990/MID3/P10428_face5.jpg,F0990/MID6/P10437_face5.jpg
5,1,F0990/MID3/P10428_face5.jpg,F0990/MID6/P10429_face5.jpg
5,1,F0990/MID3/P10428_face5.jpg,F0990/MID6/P10435_face2.jpg
5,1,F0990/MID3/P10428_face5.jpg,F0990/MID6/P10433_face3.jpg
5,1,F0990/MID3/P10428_face5.jpg,F0990/MID6/P10432_face8.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID7/P10433_face5.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID7/P10429_face6.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID7/P10437_face4.jpg
5,1,F0990/MID3/P10434_face1.jpg,F0990/MID7/P10435_face6.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID7/P10433_face5.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID7/P10429_face6.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID7/P10437_face4.jpg
5,1,F0990/MID3/P10436_face5.jpg,F0990/MID7/P10435_face6.jpg
