<<<<<<< HEAD
<<<<<<< HEAD
Iteration1 loss=7.606295585632324 loss1=0.6900837421417236 loss2=6.9162116050720215
Iteration2 loss=7.613076686859131 loss1=0.6918089985847473 loss2=6.921267509460449
Iteration3 loss=7.578484058380127 loss1=0.696977972984314 loss2=6.881505966186523
Iteration4 loss=7.51174259185791 loss1=0.6948578357696533 loss2=6.816884994506836
Iteration5 loss=7.520898818969727 loss1=0.6944960951805115 loss2=6.82640266418457
Iteration6 loss=7.433747291564941 loss1=0.6815025210380554 loss2=6.75224494934082
Iteration7 loss=7.373358726501465 loss1=0.6934170722961426 loss2=6.679941654205322
Iteration8 loss=7.043395042419434 loss1=0.700204610824585 loss2=6.3431901931762695
Iteration9 loss=7.724459648132324 loss1=0.6983863115310669 loss2=7.026073455810547
Iteration10 loss=5.590705394744873 loss1=0.6939912438392639 loss2=4.896714210510254
Iteration11 loss=7.278934955596924 loss1=0.693498969078064 loss2=6.58543586730957
Iteration12 loss=6.98143196105957 loss1=0.6915984153747559 loss2=6.2898335456848145
Iteration13 loss=6.092907905578613 loss1=0.6981582641601562 loss2=5.394749641418457
Iteration14 loss=6.320291519165039 loss1=0.6775228381156921 loss2=5.642768859863281
Iteration15 loss=6.087190628051758 loss1=0.6783869862556458 loss2=5.408803462982178
Iteration16 loss=7.045042037963867 loss1=0.7043039202690125 loss2=6.340738296508789
Iteration17 loss=7.774032115936279 loss1=0.6605888605117798 loss2=7.113443374633789
Iteration18 loss=5.933657169342041 loss1=0.7561917304992676 loss2=5.177465438842773
Iteration19 loss=7.388580799102783 loss1=0.6874885559082031 loss2=6.70109224319458
Iteration20 loss=6.6814398765563965 loss1=0.6945133209228516 loss2=5.986926555633545
Iteration21 loss=7.644773483276367 loss1=0.7037661075592041 loss2=6.941007614135742
Iteration22 loss=5.069221496582031 loss1=0.6899477243423462 loss2=4.379273891448975
Iteration23 loss=6.633852481842041 loss1=0.6975444555282593 loss2=5.936307907104492
Iteration24 loss=7.601192474365234 loss1=0.717169463634491 loss2=6.884023189544678
Iteration25 loss=6.69107723236084 loss1=0.7095052003860474 loss2=5.981572151184082
Iteration26 loss=7.1771464347839355 loss1=0.8459050059318542 loss2=6.331241607666016
Iteration27 loss=6.607817649841309 loss1=0.7362833619117737 loss2=5.87153434753418
Iteration28 loss=7.176877021789551 loss1=0.6751652956008911 loss2=6.501711845397949
Iteration29 loss=7.527222156524658 loss1=0.717105507850647 loss2=6.810116767883301
